seed,lr,batch_size,acc,f1
1234,5e-5,16,0.860454647760522,0.6011862857537829
1235,5e-5,16,0.8573036236776952,0.5982252462901684
1236,5e-5,16,0.8602295746117488,0.6064368196033566
1237,5e-5,16,0.8575286968264687,0.6096306265395326
1238,5e-5,16,0.8694575737114563,0.5952192191656698
